               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.040835,             0.03901,           0.0034188,             0.84122,             0.80936,             0.86865,             0.51617,            0.034493,            0.019523,          0.00080119,             0.00681,             0.00681,             0.00681
                  60,            0.040901,            0.038721,            0.003272,             0.83863,             0.81998,             0.87161,             0.52425,            0.034046,            0.019511,          0.00073537,            0.006755,            0.006755,            0.006755
                  61,            0.040613,            0.038944,            0.003246,             0.83732,             0.81906,             0.86731,             0.52257,            0.033869,            0.019398,          0.00075286,              0.0067,              0.0067,              0.0067
                  62,              0.0405,            0.039266,           0.0031541,             0.83586,             0.81526,             0.86747,             0.52181,            0.034222,            0.019309,          0.00078425,            0.006645,            0.006645,            0.006645
                  63,             0.04038,            0.038549,           0.0031774,             0.84585,              0.8241,             0.88033,             0.53393,            0.033973,            0.019046,          0.00071202,             0.00659,             0.00659,             0.00659
                  64,            0.040368,            0.038164,           0.0031425,             0.83631,              0.8281,             0.87715,             0.53277,            0.033609,            0.019086,          0.00075754,            0.006535,            0.006535,            0.006535
                  65,            0.040397,            0.037624,           0.0031887,             0.85292,             0.82985,             0.88191,             0.53991,            0.033441,            0.018967,          0.00068591,             0.00648,             0.00648,             0.00648
                  66,            0.040409,            0.038348,           0.0032369,             0.84312,             0.83949,             0.88518,             0.54477,            0.033127,             0.01887,          0.00072286,            0.006425,            0.006425,            0.006425
                  67,            0.040379,            0.038631,           0.0032873,             0.85651,             0.83233,             0.88374,             0.54435,            0.033161,            0.018791,          0.00071327,             0.00637,             0.00637,             0.00637
                  68,            0.040141,            0.038836,            0.003133,             0.84707,             0.83443,             0.88529,             0.54255,            0.033209,            0.018829,          0.00067037,            0.006315,            0.006315,            0.006315
                  69,            0.040021,            0.038584,           0.0030225,             0.85331,             0.84101,             0.88858,             0.55096,            0.032816,            0.018616,          0.00063475,             0.00626,             0.00626,             0.00626
                  70,            0.040033,            0.037811,           0.0031661,             0.85162,             0.83018,             0.88451,             0.54739,            0.032996,            0.019034,          0.00066524,            0.006205,            0.006205,            0.006205
